First_Name,Last_Name,Course,PassYear,Campus,StudentID
Jason,Buchanan,Zoology,2025,Vishakhapatnam,A2025333119002
Nicholas,Murphy,Zoology,2028,Vishakhapatnam,A2028333119003
Tyrone,Carpenter,Zoology,2022,Vishakhapatnam,A2022333119004
Anna,Smith,Zoology,2026,Vishakhapatnam,A2026333119005
Cody,Green,Veterinary Medicine,2026,Vishakhapatnam,A2026961119006
Catherine,Williams,Veterinary Medicine,2027,Vishakhapatnam,A2027961119007
James,Martin,Veterinary Medicine,2026,Vishakhapatnam,A2026961119008
Ashley,Flores,Veterinary Medicine,2019,Vishakhapatnam,A2019961119009
Michelle,Boyd,Urban Planning,2029,Vishakhapatnam,A2029159119010
Ryan,Rodgers,Urban Planning,2019,Vishakhapatnam,A2019159119011
Sandra,Walker,Urban Planning,2029,Vishakhapatnam,A2029159119012
Shelly,Cox,Urban Planning,2020,Vishakhapatnam,A2020159119013
Don,Freeman,Urban Planning,2021,Vishakhapatnam,A2021159119014
Brenda,Howard,Urban Planning,2021,Vishakhapatnam,A2021159119015
William,Anderson,Urban Planning,2025,Vishakhapatnam,A2025159119016
Brad,Thomas,Theology,2028,Vishakhapatnam,A2028465119017
Tony,Graham,Theology,2026,Vishakhapatnam,A2026465119018
Brian,Martin,Theology,2022,Vishakhapatnam,A2022465119019
Joseph,Hernandez,Theatre,2027,Vishakhapatnam,A2027798119020
Christopher,Curtis,Theatre,2019,Vishakhapatnam,A2019798119021
Mark,Smith,Theatre,2019,Vishakhapatnam,A2019798119022
Alicia,Francis,Theatre,2025,Vishakhapatnam,A2025798119023
Elizabeth,Davis,Theatre,2021,Vishakhapatnam,A2021798119024
Christina,Hammond,Sociology,2025,Vishakhapatnam,A2025555119025
Wanda,Burnett,Sociology,2021,Vishakhapatnam,A2021555119026
Deborah,Jones,Sociology,2029,Vishakhapatnam,A2029555119027
Karen,Henry,Sociology,2020,Vishakhapatnam,A2020555119028
Michael,Ortiz,Sociology,2026,Vishakhapatnam,A2026555119029
Thomas,Brandt,Sociology,2023,Vishakhapatnam,A2023555119030
Amanda,Williams,Sociology,2030,Vishakhapatnam,A2030555119031
Megan,Velasquez,Sociology,2029,Vishakhapatnam,A2029555119032
Nancy,Young,Sociology,2029,Vishakhapatnam,A2029555119033
Tyler,Newman,Sociology,2021,Vishakhapatnam,A2021555119034
Bobby,Russell,Sociology,2019,Vishakhapatnam,A2019555119035
Patrick,Thornton,Public Administration,2027,Vishakhapatnam,A2027696119036
Eric,Baker,Public Administration,2022,Vishakhapatnam,A2022696119037
Robert,Thompson,Public Administration,2021,Vishakhapatnam,A2021696119038
William,Sullivan,Public Administration,2021,Vishakhapatnam,A2021696119039
Dustin,Harrison,Public Administration,2023,Vishakhapatnam,A2023696119040
Theresa,Williams,Psychology,2029,Vishakhapatnam,A2029193119041
Cindy,Jackson,Psychology,2028,Vishakhapatnam,A2028193119042
Carolyn,Mclean,Psychology,2027,Vishakhapatnam,A2027193119043
Lauren,Berger,Psychology,2020,Vishakhapatnam,A2020193119044
Jennifer,Woods,Psychology,2029,Vishakhapatnam,A2029193119045
Jillian,Evans,Psychology,2029,Vishakhapatnam,A2029193119046
Nancy,Maldonado,Political Science,2023,Vishakhapatnam,A2023152119047
